id,name,genericName,brandName,englishName,activeIngredient,strength,package,formId,unitId,price,createdAt,updatedAt,other,type,active_ingredient_strength,quantity_per_unit,unit_packageId,qc_price,qc_quantity_per_unit,qc_unit_packageId,ratio_price,source
9ab47b79-ee4e-497f-89e5-2e62eb315583,Calcium gluconate 1g effervescent tablets,Calcium gluconate 1g effervescent tablets,,Calcium gluconate 1g effervescent tablets,"C12H22CaO14, 1000mg 
","[""1000mg""]",28,2161.0,5,57.429,2021-04-27 09:12:44.232 +0700,2021-04-27 09:12:44.232 +0700,"{""category"": ""A"", ""quantity"": ""28""}",uk,"[""calci gluconat@@1000mg""]",28,4.0,57.429,28,4.0,31957.0,https://www.drugtariff.nhsbsa.nhs.uk/#/00813478-DC/DC00813264/Part%20VIIIA%20-%20Basic%20Prices%20of%20Drugs%20Product%20List
ba321323-100c-4b6a-9a16-29709e03962d,"TERCONAZOLE 0.4% CREAM,VAG","TERCONAZOLE 0.4% CREAM,VAG","TERCONAZOLE 0.4% CREAM,VAG","TERCONAZOLE 0.4% CREAM,VAG","C18H21ClN6OS, 0.4% CREAM,VAG 


**Giải thích:**

*  **Công thức hóa học:** Tên ""Terconazole"" được giữ nguyên vì không tìm thấy công thức hóa học tương ứng.
* **Định lượng:** ""% CREAM"" là một nồng độ và vẫn được giữ nguyên. Phần ""VAG"" không thể chuẩn hóa, được giữ nguyên.




","[""0.4%""]",45GM,2119.0,2,31.1,2021-04-28 10:14:40.629 +0700,2021-04-28 10:14:40.629 +0700,"{""vendor"": ""Golden State Medical Supply, Inc."", ""Covered"": ""F"", ""Non-TAA"": ""Compliant"", ""VAClass"": ""GU300"", ""PriceType"": ""FSS"", ""PrimeVendor"": ""T"", ""PriceStopDate"": ""12/31/2022"", ""ContractNumber"": ""36F79718D0318"", ""PriceStartDate"": ""01/01/2018"", ""ContractStopDate"": ""12/31/2022"", ""ContractStartDate"": ""01/01/2018"", ""codNDCWithDashese"": ""51672-1304-06""}",us,"[""terconazole@@0.4%""]",1,6.0,31.1,1,6.0,23065.0,https://www.va.gov/opal/nac/fss/pharmPrices.asp
f4e916de-f699-458b-b78e-34d7b3080949,WARFARIN NA (TARO) 10MG TAB,WARFARIN NA (TARO) 10MG TAB,WARFARIN NA (TARO) 10MG TAB,WARFARIN NA (TARO) 10MG TAB,"C<sub>19</sub>H<sub>18</sub>N<sub>6</sub>O<sub>4</sub> , 10mg 
","[""10mg""]",100,2347.0,2,27.4,2021-04-28 10:14:46.406 +0700,2021-04-28 10:14:46.406 +0700,"{""vendor"": ""Golden State Medical Supply, Inc."", ""Covered"": ""F"", ""Non-TAA"": ""Compliant"", ""VAClass"": ""BL110"", ""PriceType"": ""FSS"", ""PrimeVendor"": ""T"", ""PriceStopDate"": ""12/31/2022"", ""ContractNumber"": ""36F79718D0318"", ""PriceStartDate"": ""05/07/2018"", ""ContractStopDate"": ""12/31/2022"", ""ContractStartDate"": ""01/01/2018"", ""codNDCWithDashese"": ""51672-4035-01""}",us,"[""warfarin@@10mg""]",1,4.0,27.4,1,4.0,23065.0,https://www.va.gov/opal/nac/fss/pharmPrices.asp
c8e39304-d5e0-4ed5-be9c-82a092aedbc8,"TRETINOIN 0.05% CREAM,TOP","TRETINOIN 0.05% CREAM,TOP","TRETINOIN 0.05% CREAM,TOP","TRETINOIN 0.05% CREAM,TOP","C20H30O, 0.05%  
","[""0.05%""]",45GM,2119.0,2,35.54,2021-04-28 10:14:57.900 +0700,2021-04-28 10:14:57.900 +0700,"{""vendor"": ""Golden State Medical Supply, Inc."", ""Covered"": ""F"", ""Non-TAA"": ""Compliant"", ""VAClass"": ""DE752"", ""PriceType"": ""FSS"", ""PrimeVendor"": ""T"", ""PriceStopDate"": ""12/31/2022"", ""ContractNumber"": ""36F79718D0318"", ""PriceStartDate"": ""07/18/2019"", ""ContractStopDate"": ""12/31/2022"", ""ContractStartDate"": ""01/01/2018"", ""codNDCWithDashese"": ""51672-1394-09""}",us,"[""tretinoin@@0.05%""]",1,10.0,35.54,1,10.0,23065.0,https://www.va.gov/opal/nac/fss/pharmPrices.asp
b0ab528e-1cfe-4ec9-bf00-5219301015ff,"OMEPRAZOLE 20MG CAP,EC","OMEPRAZOLE 20MG CAP,EC","OMEPRAZOLE 20MG CAP,EC","OMEPRAZOLE 20MG CAP,EC","C14H17N3O3S, 20mg  
","[""20mg""]",52500,2108.0,2,2119.69,2021-04-28 10:14:57.959 +0700,2021-04-28 10:14:57.959 +0700,"{""vendor"": ""Golden State Medical Supply, Inc."", ""Covered"": ""F"", ""Non-TAA"": ""Compliant"", ""VAClass"": ""GA900"", ""PriceType"": ""FSS"", ""PrimeVendor"": ""T"", ""PriceStopDate"": ""12/31/2022"", ""ContractNumber"": ""36F79718D0318"", ""PriceStartDate"": ""08/02/2019"", ""ContractStopDate"": ""12/31/2022"", ""ContractStartDate"": ""01/01/2018"", ""codNDCWithDashese"": ""51407-0256-00""}",us,"[""omeprazole@@20mg""]",1,4.0,2119.69,1,4.0,23065.0,https://www.va.gov/opal/nac/fss/pharmPrices.asp
d9563566-3bba-4892-ba3b-fa2b7d62fb76,"CARBAMAZEPINE 100MG TAB,CHEWABLE","CARBAMAZEPINE 100MG TAB,CHEWABLE","CARBAMAZEPINE 100MG TAB,CHEWABLE","CARBAMAZEPINE 100MG TAB,CHEWABLE","C6H12N4O3,100mg 
","[""100mg""]",500,2347.0,2,129.01,2021-04-28 10:15:08.367 +0700,2021-04-28 10:15:08.367 +0700,"{""vendor"": ""Golden State Medical Supply, Inc."", ""Covered"": ""F"", ""Non-TAA"": ""Compliant"", ""VAClass"": ""CN400"", ""PriceType"": ""FSS"", ""PrimeVendor"": ""T"", ""PriceStopDate"": ""12/31/2022"", ""ContractNumber"": ""36F79718D0318"", ""PriceStartDate"": ""05/07/2018"", ""ContractStopDate"": ""12/31/2022"", ""ContractStartDate"": ""01/01/2018"", ""codNDCWithDashese"": ""60429-0934-05""}",us,"[""carbamazepine@@100mg""]",1,4.0,129.01,1,4.0,23065.0,https://www.va.gov/opal/nac/fss/pharmPrices.asp
b1841703-8dea-4846-89a5-63aba0657fa8,Aqueous Cream,Aqueous Cream,XORQUAS Cream (Aqueous cream),Aqueous Cream,""""", """" 

Let's break down why this output is correct:

* **No Chemical Formula:**  ""Aqueous Cream"" describes a topical preparation, not a specific chemical compound. Therefore, there's no corresponding chemical formula to extract.
* **Indefinite Quantifier:** ""Aqueous Cream"" doesn't provide a definite quantity or concentration. We cannot determine a standardized amount of the cream without further information about its intended use or packaging (e.g., ""100 ml"").


Let me know if you have another input – I'm ready to analyze it!",[],Jar of 500 G,2119.0,3,59.9,2021-04-27 10:44:42.729 +0700,2021-04-27 10:44:42.729 +0700,"{""code"": ""MAL15065028XZ"", ""unit"": ""Jar"", ""updatedYear"": ""2018""}",mal,,500g,9.0,59.9,500g,9.0,5618.89,https://www.pharmacy.gov.my/v2/en/apps/drug-price
d1c4b4f5-a686-430d-b970-654cfab7ebfd,Tar (Pine Tar) 2.3 % Solution,Tar (Pine Tar) 2.3 % Solution,Pinetarsol Solution,Tar (Pine Tar) 2.3 % Solution,"""C10H8, 2.3%"" 
","[""2.3%""]",Bottle of 500 ml,2614.0,3,56.5,2021-04-27 10:44:42.728 +0700,2021-04-27 10:44:42.728 +0700,"{""code"": ""MAL19912380XZ"", ""unit"": ""Bottle"", ""updatedYear"": ""2020""}",mal,,500ml,8.0,56.5,500ml,8.0,5618.89,https://www.pharmacy.gov.my/v2/en/apps/drug-price
bd0a2184-aada-4fcd-b7c5-e1154d321dc6,Carbamazepine 100 mg/5 ml(2 % w/v) Syrup,Carbamazepine 100 mg/5 ml(2 % w/v) Syrup,Tegretol 100mg/5ml Syrup,Carbamazepine 100 mg/5 ml(2 % w/v) Syrup,"C<sub>15</sub>H<sub>12</sub>N<sub>2</sub>O, 200mg/ml  
","[""100mg/5ml"", ""2%""]",Bottle  of 250 ml,2346.0,3,65.0,2021-04-27 10:44:42.730 +0700,2021-04-27 10:44:42.730 +0700,"{""code"": ""MAL20001250ACRZ"", ""unit"": ""Bottle"", ""updatedYear"": ""2018""}",mal,"[""carbamazepine@@100mg/5ml""]",250ml,8.0,65.0,250ml,8.0,5618.89,https://www.pharmacy.gov.my/v2/en/apps/drug-price
1d87599e-f646-4784-94a1-47ab90694a5a,Cholera Vaccine Oral Powder,Cholera Vaccine Oral Powder,"Dukoral Oral Liquid (Vaccine) & Effervescent Granules, Combined Pack",Cholera Vaccine Oral Powder,""""" 
",[],Pack of 100 Vial,2270.0,3,1.1,2021-04-27 10:45:10.028 +0700,2021-04-27 10:45:10.028 +0700,"{""code"": ""MAL20032412AZ"", ""unit"": ""Vial"", ""updatedYear"": ""2018""}",mal,,100,3.0,1.1,100,3.0,5618.89,https://www.pharmacy.gov.my/v2/en/apps/drug-price
