id,name,typePrice,declarationDate,petition,activeIngredient,strength,registerCode,form,package,unit,price,priceCIF,company,decisionCode,priceTotal,class,manufactureCounty,createdAt,updatedAt
8dd5fc84-87a1-4d29-bc20-2a8d1d6f61f0,Penzima,KK trong nước,2020-11-13T16:21:31.767+07:00,,"C17H24ClN2O3.HCl , 300mg/5ml 
",30mg,VD-34370-20,Hỗn dịch uống,Hộp 20 ống nhựa uống x 5ml; Hộp 20 gói x 5ml; Hộp 01 chai x 30ml; Hộp 01 chai x 60ml,Chai,85000.0,,Công ty Cổ phần S.P.M,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
64f41414-d4f0-48dc-8044-abf396c13421,Rabeolone,KK nhập khẩu,2018-04-06T00:00:00+07:00,,"C22H29O5, 4mg  
",4mg,VN-19805-16,,Hộp 10 vỉ x 10 Viên,Viên,520.0,,Cty CP tập đoàn Dược phẩm và Thương mại Sohaco,,,,India,0001-01-01 19:02:23.518 +0700,0001-01-01 19:02:23.518 +0700
a217965c-3586-42eb-8b66-04f5573569ac,Euvioxcin,KK trong nước,2020-11-12T10:04:33.517+07:00,,"C18H26N4O9SNa, 500mg  
",500mg,VD-34176-20,Viên nang cứng (trắng-xanh),Hộp 1 túi nhôm x 2 vỉ x 10 viên,viên,3500.0,,Công ty cổ phần dược phẩm Hà Tây,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
cdd38fd8-7eee-4cd7-88b1-3fce39629f39,Meyernife SR,KK trong nước,2020-07-06T11:10:13.55+07:00,,"C7H13NO2, 6000mg/60ml  
",6000mg,VD-34038-20,Dung dịch uống,Hộp 01 chai 120ml,Chai,125000.0,,Công ty Liên doanh Meyer-BPC,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
a4c36362-47a6-4671-b5f6-a0b4525152b7,Meyernife SR,KK trong nước,2020-07-06T11:10:16.177+07:00,,"C<sub>7</sub>H<sub>13</sub>NO<sub>2</sub>S, 6000mg/60ml 
",6000mg,VD-34038-20,Dung dịch uống,Hộp 01 chai 60ml,Chai,63000.0,,Công ty Liên doanh Meyer-BPC,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
676f874c-8e1a-4f60-b8fe-0969d7dd31a3,An thảo,KK trong nước,2020-11-11T09:48:08.123+07:00,," """",  0.33g,0.48g,0.33g,0.27g,0.26g,0.2g,0.176g,0.07g,0.06g,0.024g,0.02g  
","480mg, 33mg, 27mg, 26mg, 20mg, 17.6mg, 7mg, 6mg, 2.4mg  
",VD-34489-20,Viên nang cứng,"Hộp 3 vỉ, 5 vỉ x 10 viên",viên,2000.0,,Công ty TNHH Nam Dược,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
2e34d73b-b449-4ac3-8e09-f7a07c4bc42f,Jorexdo,KK trong nước,2020-11-11T09:48:07.927+07:00,,"C<sub>22</sub>H<sub>23</sub>ClN<sub>2</sub>O<sub>4</sub>, 2.5mg/5ml  
","2,5 mg",VD-34550-20,Siro,"Hộp 4 vỉ, 6 vỉ x 5 ống x 5ml",Ống,5990.0,,Công ty cổ phần dược phẩm Me Di Sun,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
f6130c8b-3326-44da-926c-369ccf32ce38,Atiferlit,KK trong nước,2020-07-31T10:19:11.707+07:00,,"Fe2O3, 50mg 
",50 mg,VD-34132-20,Dung dịch uống,Hộp 1 chai 100 ml,Chai,163800.0,,Công ty Cổ phần Dược phẩm An Thiên,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
34f6b3bb-f5e6-438f-9b45-cba14617ed6d,Atiferlit,KK trong nước,2020-07-31T10:19:11.657+07:00,,"C, 50mg 


**Giải thích:**

* **Công thức hóa học:**  ""Sắt nguyên tố"" được chuyển thành kí hiệu hóa học ""Fe"".
* **Định lượng:** ""50 mg"" giữ nguyên do nó đã có đơn vị là mg.




",50 mg,VD-34132-20,Dung dịch uống,"Hộp 20 ống, 30 ống, 50 ống x 10 ml",Ống,16800.0,,Công ty Cổ phần Dược phẩm An Thiên,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
10b088a8-8ad0-4bb3-a219-e6639fecc091,Atirin suspension,KK trong nước,2020-07-10T08:48:23.36+07:00,,"C21H26N2O2, 5mg  ; 5ml 
",5 mg,VD-34136-20,Hỗn dịch uống,Hộp 1 chai 100 ml,Chai,105000.0,,Công ty Cổ phần Dược phẩm An Thiên,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
