id,name,typePrice,declarationDate,petition,activeIngredient,strength,registerCode,form,package,unit,price,priceCIF,company,decisionCode,priceTotal,class,manufactureCounty,createdAt,updatedAt
8dd5fc84-87a1-4d29-bc20-2a8d1d6f61f0,Penzima,KK trong nước,2020-11-13T16:21:31.767+07:00,,Mỗi 5ml chứa: Fexofenadin hydrochlorid 300mg,30mg,VD-34370-20,Hỗn dịch uống,Hộp 20 ống nhựa uống x 5ml; Hộp 20 gói x 5ml; Hộp 01 chai x 30ml; Hộp 01 chai x 60ml,Chai,85000.0,,Công ty Cổ phần S.P.M,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
64f41414-d4f0-48dc-8044-abf396c13421,Rabeolone,KK nhập khẩu,2018-04-06T00:00:00+07:00,,Triamcinolon 4mg,4mg,VN-19805-16,,Hộp 10 vỉ x 10 Viên,Viên,520.0,,Cty CP tập đoàn Dược phẩm và Thương mại Sohaco,,,,India,0001-01-01 19:02:23.518 +0700,0001-01-01 19:02:23.518 +0700
a217965c-3586-42eb-8b66-04f5573569ac,Euvioxcin,KK trong nước,2020-11-12T10:04:33.517+07:00,,Oxacillin (dưới dạng Oxacillin Natri) 500mg,500mg,VD-34176-20,Viên nang cứng (trắng-xanh),Hộp 1 túi nhôm x 2 vỉ x 10 viên,viên,3500.0,,Công ty cổ phần dược phẩm Hà Tây,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
cdd38fd8-7eee-4cd7-88b1-3fce39629f39,Meyernife SR,KK trong nước,2020-07-06T11:10:13.55+07:00,,Mỗi 60ml dung dịch chứa Piracetam 6000mg,6000mg,VD-34038-20,Dung dịch uống,Hộp 01 chai 120ml,Chai,125000.0,,Công ty Liên doanh Meyer-BPC,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
a4c36362-47a6-4671-b5f6-a0b4525152b7,Meyernife SR,KK trong nước,2020-07-06T11:10:16.177+07:00,,Mỗi 60ml dung dịch chứa Piracetam 6000mg,6000mg,VD-34038-20,Dung dịch uống,Hộp 01 chai 60ml,Chai,63000.0,,Công ty Liên doanh Meyer-BPC,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
676f874c-8e1a-4f60-b8fe-0969d7dd31a3,An thảo,KK trong nước,2020-11-11T09:48:08.123+07:00,,"Mỗi viên chứa bột mịn cao hỗn hợp dược liệu 0,33 g (tương đương: Tế tân 0,48 g; Sinh địa 0,33 g; Đương quy 0,27 g; Thăng ma 0,26 g; Mẫu đơn bì 0,2 g; Hoàng liên 0,176 g; Bột mịn Thăng ma 0,07 g; Bột mịn Đương quy 0,06 g; Bột mịn Hoàng liên 0,024 g); Bột mịn Tế tân 0,02 g","480mg, 33mg, 27mg, 26mg, 20mg, 17.6mg, 7mg, 6mg, 2.4mg  
",VD-34489-20,Viên nang cứng,"Hộp 3 vỉ, 5 vỉ x 10 viên",viên,2000.0,,Công ty TNHH Nam Dược,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
2e34d73b-b449-4ac3-8e09-f7a07c4bc42f,Jorexdo,KK trong nước,2020-11-11T09:48:07.927+07:00,,"Mỗi 5ml chứa: Desloratadin 2,5 mg","2,5 mg",VD-34550-20,Siro,"Hộp 4 vỉ, 6 vỉ x 5 ống x 5ml",Ống,5990.0,,Công ty cổ phần dược phẩm Me Di Sun,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
f6130c8b-3326-44da-926c-369ccf32ce38,Atiferlit,KK trong nước,2020-07-31T10:19:11.707+07:00,,Mỗi 5ml dung dịch chứa: Sắt nguyên tố (dưới dạng Sắt (III) hydroxyd polymaltose 34%) 50 mg; ;,50 mg,VD-34132-20,Dung dịch uống,Hộp 1 chai 100 ml,Chai,163800.0,,Công ty Cổ phần Dược phẩm An Thiên,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
34f6b3bb-f5e6-438f-9b45-cba14617ed6d,Atiferlit,KK trong nước,2020-07-31T10:19:11.657+07:00,,Mỗi 5ml dung dịch chứa: Sắt nguyên tố (dưới dạng Sắt (III) hydroxyd polymaltose 34%) 50 mg; ;,50 mg,VD-34132-20,Dung dịch uống,"Hộp 20 ống, 30 ống, 50 ống x 10 ml",Ống,16800.0,,Công ty Cổ phần Dược phẩm An Thiên,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
10b088a8-8ad0-4bb3-a219-e6639fecc091,Atirin suspension,KK trong nước,2020-07-10T08:48:23.36+07:00,,Mỗi gói 5 ml chứa: Ebastin 5 mg,5 mg,VD-34136-20,Hỗn dịch uống,Hộp 1 chai 100 ml,Chai,105000.0,,Công ty Cổ phần Dược phẩm An Thiên,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
2b444eb8-0f73-472b-978b-1c3c3ffeb4b8,Atirin suspension,KK trong nước,2020-07-10T08:48:35.567+07:00,,Mỗi gói 5 ml chứa: Ebastin 5 mg,5 mg,VD-34136-20,Hỗn dịch uống,Hộp 1 chai 60 ml,Chai,63000.0,,Công ty Cổ phần Dược phẩm An Thiên,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
07032849-3502-4244-a71c-66d1f34c3431,Arges,KK trong nước,2020-06-29T17:56:29.283+07:00,,Sucralfat 1g/15ml,1g/15ml,VD-34129-20,Hỗn dịch uống,Hộp 20 gói x 15ml; hộp 50 gói x 15ml,Gói,6800.0,,Công ty Cổ phần Dược phẩm An Thiên,,,,,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
9a324ae3-d0c1-42e0-a312-d9289566b6b7,Rabeolone,KK nhập khẩu,2017-12-06T10:13:44+07:00,,Triamcinolon 4mg,,VN-19805-16,,Hộp 10 vỉ x 10 Viên,Viên,420.0,,Công ty TNHH Nutri-Pharma USA,,,,India,0001-01-01 19:02:23.683 +0700,0001-01-01 19:02:23.683 +0700
d0e925e3-9ad5-4cc3-ade6-39cb955ee9a1,Erykid,KK trong nước,2020-11-12T10:29:18.877+07:00,,Mỗi 5ml hỗn dịch sau khi hoàn nguyên chứa: Erythromycin (dưới dạng Erythromycin ethylsuccinat) 250mg,250mg,VD-32990-19,Thuốc bột pha hỗn dịch uống,Hộp 1 lọ  100ml,Hộp,95000.0,,Công ty CP dược vật tư y tế Hà Nam,,,,Việt Nam,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
e439be9d-066e-4ffa-8373-58793a951882,Omecarbo 20 mg/1.1 g,KK trong nước,2020-11-13T16:21:31.767+07:00,,Omeprazol 20mg; Natri bicarbonat 1100mg,"20mg, 1100mg",VD-30733-18,Viên nang cứng,Hộp 3 vỉ x 10 viên; hộp 4 vỉ x 7 viên,Viên,10500.0,,Công ty Cổ phần S.P.M,,,,Việt Nam,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
a4fe5977-4f3a-4cbb-a9a3-56257c565054,Diclofenac K 50,KK trong nước,2020-09-25T11:20:00.157+07:00,,Diclofenac kali 50 mg,50 mg,VD-22449-15,Viên nén bao phim,"Hộp 3 vỉ, 10 vỉ x 10 viên; Chai 100 viên",viên,3000.0,,Công ty cổ phần dược phẩm Cửu Long,,,,Việt Nam,0001-01-01 18:57:28.908 +0700,0001-01-01 18:57:28.908 +0700
