"id","word","trans_word","type","createdAt","updatedAt"
11,gel bôi da,skin gel,translate,2021-04-13 11:40:32.860 +0700,2021-04-13 11:40:32.860 +0700
12,bột đông khô pha tiêm tĩnh mạch,lyophilized powder for intravenous injection,translate,2021-04-13 11:40:32.795 +0700,2021-04-13 11:40:32.795 +0700
13,dung dịch tiêm bắp chậm tiêm tĩnh mạch chậm truyền tĩnh mạch sau khi pha,solution for slow intramuscular injection slow intravenous infusion after reconstitution,translate,2021-04-13 11:40:32.254 +0700,2021-04-13 11:40:32.254 +0700
14,viên nén bao phim,film coated tablets,translate,2021-04-13 11:40:32.164 +0700,2021-04-13 11:40:32.164 +0700
15,viên nang cứng,hard capsules,translate,2021-04-13 11:40:32.033 +0700,2021-04-13 11:40:32.033 +0700
16,viên nén,tablets,translate,2021-04-13 11:40:31.874 +0700,2021-04-13 11:40:31.874 +0700
17,viên bao đường,sugar pudding,translate,2021-04-13 11:40:31.831 +0700,2021-04-13 11:40:31.831 +0700
18,bột thuốc pha tiêm,powder for injection,translate,2021-04-12 12:40:05.953 +0700,2021-04-12 12:40:05.953 +0700
19,viên nén giải phóng chậm,prolonged release tablet,translate,2021-04-12 12:39:19.299 +0700,2021-04-12 12:39:19.299 +0700
20,bột và dung môi pha dung dịch tiêm truyền,powder and solvent for solution for injection infusion,translate,2021-04-12 12:39:16.170 +0700,2021-04-12 12:39:16.170 +0700
21,khí dung chia liều,medicinal gas compressed,translate,2021-04-12 12:38:15.636 +0700,2021-04-12 12:38:15.636 +0700
22,thuốc bôi da,eye lotion,translate,2021-04-12 12:38:08.188 +0700,2021-04-12 12:38:08.188 +0700
23,dung dịch tiêm dầu,solution for injection,translate,2021-04-12 12:37:57.296 +0700,2021-04-12 12:37:57.296 +0700
24,kem bôi trực tràng,rectal cream,translate,2021-04-12 12:37:28.311 +0700,2021-04-12 12:37:28.311 +0700
25,viên nén phóng thích,modified release tablet,translate,2021-04-12 12:37:19.795 +0700,2021-04-12 12:37:19.795 +0700
26,dung dịch dầu để tiêm,solution for injection,translate,2021-04-12 12:37:05.262 +0700,2021-04-12 12:37:05.262 +0700
27,dung dịch tiêm / dung dịch đậm đặc pha dung dịch tiêm truyền,solution for injection infusion,translate,2021-04-12 12:35:57.302 +0700,2021-04-12 12:35:57.302 +0700
28,dung dịch truyền tĩnh mạch sau khi pha loãng,solution for infusion and oral solution,translate,2021-04-12 12:35:26.896 +0700,2021-04-12 12:35:26.896 +0700
29,viên bao,capsule,translate,2021-04-12 12:35:05.902 +0700,2021-04-12 12:35:05.902 +0700
30,capsulecapsule,capsule,translate,2021-04-12 12:33:46.503 +0700,2021-04-12 12:33:46.503 +0700
31,viên tan trong nước,soluble tablet,translate,2021-04-12 12:33:33.515 +0700,2021-04-12 12:33:33.515 +0700
32,solutionsolution,irrigation solution,translate,2021-04-12 12:33:24.467 +0700,2021-04-12 12:33:24.467 +0700
33,cốm pha dung dịch uống,solution for infusion,translate,2021-04-12 12:32:54.100 +0700,2021-04-12 12:32:54.100 +0700
34,thuốc bột uống,powder for infusion,translate,2021-04-12 12:32:53.959 +0700,2021-04-12 12:32:53.959 +0700
35,dung dịch bôi da,irrigation solution,translate,2021-04-12 12:32:44.826 +0700,2021-04-12 12:32:44.826 +0700
36,tabstabs,tablet,translate,2021-04-12 12:32:44.736 +0700,2021-04-12 12:32:44.736 +0700
37,bột pha tiêm kèm nước cất vô khuẩn pha tiêm,powder for injection,translate,2021-04-12 12:32:35.982 +0700,2021-04-12 12:32:35.982 +0700
38,gel bôi da đầu,oral gel,translate,2021-04-12 12:32:31.777 +0700,2021-04-12 12:32:31.777 +0700
39,bột đông khô để pha dịch truyền tĩnh mạch,powder for intravesical suspension,translate,2021-04-12 12:32:22.013 +0700,2021-04-12 12:32:22.013 +0700
40,thuốc nhỏ mũi,nasal drops,translate,2021-04-12 12:32:12.088 +0700,2021-04-12 12:32:12.088 +0700
41,viên nén bao phim viên nang,capsule,translate,2021-04-12 12:31:13.699 +0700,2021-04-12 12:31:13.699 +0700
42,cốm phóng thích kéo dài,prolonged release tablet,translate,2021-04-12 12:30:44.254 +0700,2021-04-12 12:30:44.254 +0700
43,viên nang cứng (xanh-trắng),capsule hard,translate,2021-04-12 12:30:25.280 +0700,2021-04-12 12:30:25.280 +0700
44,cao xoa,syrup,translate,2021-04-12 12:30:05.944 +0700,2021-04-12 12:30:05.944 +0700
45,dropsdrops,ear drops,translate,2021-04-12 12:30:02.836 +0700,2021-04-12 12:30:02.836 +0700
46,kem dùng ngoài,nasal cream,translate,2021-04-12 12:29:38.001 +0700,2021-04-12 12:29:38.001 +0700
47,injinj,injection,translate,2021-04-12 12:29:34.262 +0700,2021-04-12 12:29:34.262 +0700
48,dung dịch thẩm phân màng bụng,solution for peritoneal dialysis,translate,2021-04-12 12:29:15.107 +0700,2021-04-12 12:29:15.107 +0700
49,viên nén tan trong ruột,coated tablet,translate,2021-04-12 12:29:05.803 +0700,2021-04-12 12:29:05.803 +0700
50,viên sủi bọt 500mg,effervescent tablet,translate,2021-04-12 12:28:56.662 +0700,2021-04-12 12:28:56.662 +0700
51,thuốc bột pha tiêm truyền tĩnh mạch,intravenous infusion,translate,2021-04-12 12:28:23.919 +0700,2021-04-12 12:28:23.919 +0700
52,sprayspray,ear spray,translate,2021-04-12 12:27:52.217 +0700,2021-04-12 12:27:52.217 +0700
53,gelgel,medicinal gas compressed,translate,2021-04-12 12:27:51.048 +0700,2021-04-12 12:27:51.048 +0700
54,viên nén bao phim phóng thích chậm,compressed lozenge,translate,2021-04-12 12:27:46.645 +0700,2021-04-12 12:27:46.645 +0700
55,dung dịch đậm đặc để pha dịch tiêm truyền,concentrate for solution for infusion,translate,2021-04-12 12:27:42.706 +0700,2021-04-12 12:27:42.706 +0700
56,thuốc xịt ngoài da,ear spray,translate,2021-04-12 12:27:37.989 +0700,2021-04-12 12:27:37.989 +0700
57,gel nhỏ mắt,eye gel,translate,2021-04-12 12:27:37.638 +0700,2021-04-12 12:27:37.638 +0700
58,dung dịch tiêm bắp hoặc tiêm tĩnh mạch,concentrate for solution for injection infusion,translate,2021-04-12 12:26:41.643 +0700,2021-04-12 12:26:41.643 +0700
59,viên nang cứng phóng thích kéo dài,prolonged release capsule hard,translate,2021-04-12 12:26:04.295 +0700,2021-04-12 12:26:04.295 +0700
60,dang xit,instant herbal tea,translate,2021-04-12 12:25:55.848 +0700,2021-04-12 12:25:55.848 +0700
61,viên nén đặt phụ khoa,buccal tablet,translate,2021-04-12 12:25:51.300 +0700,2021-04-12 12:25:51.300 +0700
62,sirô uổng,pessary,translate,2021-04-12 12:25:32.573 +0700,2021-04-12 12:25:32.573 +0700
63,dung dịch pha tiêm,solution for injection,translate,2021-04-12 12:25:18.565 +0700,2021-04-12 12:25:18.565 +0700
64,viên nén bao tan trong ruột viên nén bao phim,film coated tablet,translate,2021-04-12 12:25:13.939 +0700,2021-04-12 12:25:13.939 +0700
65,dung dịch tiêm bắp/tiêm tĩnh mạch,solution for injection in cartridge,translate,2021-04-12 12:24:59.748 +0700,2021-04-12 12:24:59.748 +0700
66,viên đặt phụ khoa,collodion,translate,2021-04-12 12:24:04.459 +0700,2021-04-12 12:24:04.459 +0700
67,dung dịch đậm đặc để pha thuốc tiêm truyền,concentrate for solution for infusion,translate,2021-04-12 12:23:05.171 +0700,2021-04-12 12:23:05.171 +0700
68,dung dịch tiêm bắp tiêm tĩnh mạch truyền tĩnh mạch tiêm ngoài màng cứng,concentrate for solution for injection infusion,translate,2021-04-12 12:21:56.009 +0700,2021-04-12 12:21:56.009 +0700
69,dung dịch tiêm truyền tĩnh mạch tiêm dưới da,concentrate for solution for injection infusion,translate,2021-04-12 12:21:46.507 +0700,2021-04-12 12:21:46.507 +0700
70,bột đông khô pha tiêm/truyền tĩnh mạch tiêm dưới da tiêm trong tủy sống,powder and suspension for suspension for injection,translate,2021-04-12 12:21:37.376 +0700,2021-04-12 12:21:37.376 +0700
4,lyophilized powder for intravenous injection,injection powder lyophilized for suspension,transform,2021-04-13 11:50:13.189 +0700,2021-04-13 11:50:13.189 +0700
5,skin gel,gel,transform,2021-04-13 11:50:13.188 +0700,2021-04-13 11:50:13.188 +0700
6,solution for slow intramuscular injection slow intravenous infusion after reconstitution,concentrate for solution for injection infusion,transform,2021-04-13 11:50:12.492 +0700,2021-04-13 11:50:12.492 +0700
7,film coated tablets,film coated tablet,transform,2021-04-13 11:50:12.470 +0700,2021-04-13 11:50:12.470 +0700
8,hard capsules,capsule hard,transform,2021-04-13 11:50:12.257 +0700,2021-04-13 11:50:12.257 +0700
9,sugar pudding,tablet sugar coated,transform,2021-04-13 11:50:11.977 +0700,2021-04-13 11:50:11.977 +0700
10,tablets,tablet,transform,2021-04-13 11:50:11.955 +0700,2021-04-13 11:50:11.955 +0700
139,tuýp,tube,translate,2021-04-12 12:06:41.664 +0700,2021-04-12 12:06:41.664 +0700
71,viên nén bao tan trong ruột (rabeprazole) viên nén bao phim (clarithromycin) viên nén bao phim (tinidazole),modified release film coated tablet,translate,2021-04-12 12:20:56.289 +0700,2021-04-12 12:20:56.289 +0700
72,dung dich tiêm,solution for injection,translate,2021-04-12 12:20:51.417 +0700,2021-04-12 12:20:51.417 +0700
73,dung dịch tiêm/ dung dịch đậm đặc để pha truyền tĩnh mạch,concentrate for solution for injection infusion,translate,2021-04-12 12:20:36.980 +0700,2021-04-12 12:20:36.980 +0700
74,thuốc tiêm truyền,infusion,translate,2021-04-12 12:20:32.482 +0700,2021-04-12 12:20:32.482 +0700
75,viên nang cứng chứa pellets,capsule hard,translate,2021-04-12 12:20:32.410 +0700,2021-04-12 12:20:32.410 +0700
76,bột pha xiro,ear powder,translate,2021-04-12 12:20:04.469 +0700,2021-04-12 12:20:04.469 +0700
77,viên nén tan nhanh,effervescent tablet,translate,2021-04-12 12:20:04.379 +0700,2021-04-12 12:20:04.379 +0700
78,viên bao tan trong ruột,gingival gel,translate,2021-04-12 12:19:46.195 +0700,2021-04-12 12:19:46.195 +0700
80,bột đông khô,oral lyophilisate,translate,2021-04-12 12:18:58.930 +0700,2021-04-12 12:18:58.930 +0700
81,bột đông khô để pha dung dịch tiêm,powder for solution for injection,translate,2021-04-12 12:18:45.186 +0700,2021-04-12 12:18:45.186 +0700
82,nhũ tương dầu truyền tĩnh mạch,intravenous infusion,translate,2021-04-12 12:18:25.888 +0700,2021-04-12 12:18:25.888 +0700
83,thuốc hít định liều dạng phun mù,periodontal insert,translate,2021-04-12 12:17:57.238 +0700,2021-04-12 12:17:57.238 +0700
85,nhũ dịch truyền tĩnh mạch,intravenous infusion,translate,2021-04-12 12:17:34.630 +0700,2021-04-12 12:17:34.630 +0700
87,dung dịch tiêm khớp,solution for injection,translate,2021-04-12 12:16:54.206 +0700,2021-04-12 12:16:54.206 +0700
88,viên hoàn mềm,premix for medicated feeding stuff,translate,2021-04-12 12:16:37.378 +0700,2021-04-12 12:16:37.378 +0700
89,viên,tablet,translate,2021-04-12 12:16:27.772 +0700,2021-04-12 12:16:27.772 +0700
90,dung dich dùng để lọc máu,concentrate for haemodialysis solution,translate,2021-04-12 12:16:24.345 +0700,2021-04-12 12:16:24.345 +0700
91,bột đông khô để pha dịch truyền,powder for intravesical suspension,translate,2021-04-12 12:16:19.856 +0700,2021-04-12 12:16:19.856 +0700
92,hộp 10 vỉ x 10 viên viên nén bao phim,film coated tablet,translate,2021-04-12 12:16:15.999 +0700,2021-04-12 12:16:15.999 +0700
93,bột pha tiêm tĩnh mạch,powder for intravesical suspension,translate,2021-04-12 12:16:11.312 +0700,2021-04-12 12:16:11.312 +0700
94,thuốc pha hỗn dịch tiêm,solution for injection,translate,2021-04-12 12:16:01.959 +0700,2021-04-12 12:16:01.959 +0700
95,thuốc mỡ bôi da,modified release tablet,translate,2021-04-12 12:15:56.206 +0700,2021-04-12 12:15:56.206 +0700
96,bột đông kho pha tiêm,powder for injection,translate,2021-04-12 12:15:55.930 +0700,2021-04-12 12:15:55.930 +0700
97,hỗn dịch để gội đầu,shampoo,translate,2021-04-12 12:15:42.218 +0700,2021-04-12 12:15:42.218 +0700
98,dịch lọc máu và thẩm tách máu,solution for haemodialysis,translate,2021-04-12 12:15:29.978 +0700,2021-04-12 12:15:29.978 +0700
99,bột pha tiêm truyền,powder for injection,translate,2021-04-12 12:15:11.076 +0700,2021-04-12 12:15:11.076 +0700
100,bột pha hỗn dịch nhỏ tai,ear powder,translate,2021-04-12 12:15:02.185 +0700,2021-04-12 12:15:02.185 +0700
101,dung dịch đậm đặc pha tiêm,concentrate for solution for injection,translate,2021-04-12 12:14:47.751 +0700,2021-04-12 12:14:47.751 +0700
