"id","name","createdAt","updatedAt","shortName"
330319,"(n, dl) methylephdrin",2021-07-09 10:47:40.236 +0700,2021-07-09 10:47:40.236 +0700,""
330326,"4-dimethylaminophenol",2021-07-09 10:47:40.244 +0700,2021-07-09 10:47:40.244 +0700,""
330328,abacavir,2021-07-09 10:47:40.249 +0700,2021-07-09 10:47:40.249 +0700,""
330329,abetimus,2021-07-09 10:47:40.251 +0700,2021-07-09 10:47:40.251 +0700,""
330330,absorbable gelatin sponge,2021-07-09 10:47:40.252 +0700,2021-07-09 10:47:40.252 +0700,""
330331,acadesine,2021-07-09 10:47:40.253 +0700,2021-07-09 10:47:40.253 +0700,""
330333,abiraterone,2021-07-09 10:47:40.255 +0700,2021-07-09 10:47:40.255 +0700,""
330334,abarelix,2021-07-09 10:47:40.253 +0700,2021-07-09 10:47:40.253 +0700,""
330335,aceclidine,2021-07-09 10:47:40.255 +0700,2021-07-09 10:47:40.255 +0700,""
330336,"2-(4-chlorphenoxy)-ethanol",2021-07-09 10:47:40.244 +0700,2021-07-09 10:47:40.244 +0700,""
330337,abatacept,2021-07-09 10:47:40.255 +0700,2021-07-09 10:47:40.255 +0700,""
330338,aceclofenac,2021-07-09 10:47:40.256 +0700,2021-07-09 10:47:40.256 +0700,""
330339,abciximab,2021-07-09 10:47:40.256 +0700,2021-07-09 10:47:40.256 +0700,""
330340,acemetacin,2021-07-09 10:47:40.257 +0700,2021-07-09 10:47:40.257 +0700,""
330341,acenocoumarol,2021-07-09 10:47:40.259 +0700,2021-07-09 10:47:40.259 +0700,""
330342,acarbose,2021-07-09 10:47:40.258 +0700,2021-07-09 10:47:40.258 +0700,""
330343,acetazolamide,2021-07-09 10:47:40.260 +0700,2021-07-09 10:47:40.260 +0700,""
330344,acetarsol,2021-07-09 10:47:40.261 +0700,2021-07-09 10:47:40.261 +0700,""
330347,acetyldigitoxin,2021-07-09 10:47:40.264 +0700,2021-07-09 10:47:40.264 +0700,""
330348,acetylcarnitine,2021-07-09 10:47:40.264 +0700,2021-07-09 10:47:40.264 +0700,""
330349,acetylcholine,2021-07-09 10:47:40.264 +0700,2021-07-09 10:47:40.264 +0700,""
330350,acetohexamide,2021-07-09 10:47:40.263 +0700,2021-07-09 10:47:40.263 +0700,""
330355,acebutolol,2021-07-09 10:47:40.256 +0700,2021-07-09 10:47:40.256 +0700,""
330356,acetyldigoxin,2021-07-09 10:47:40.266 +0700,2021-07-09 10:47:40.266 +0700,""
330357,acetophenazine,2021-07-09 10:47:40.267 +0700,2021-07-09 10:47:40.267 +0700,""
330358,acepromazine,2021-07-09 10:47:40.259 +0700,2021-07-09 10:47:40.259 +0700,""
330359,acetoxolone,2021-07-09 10:47:40.266 +0700,2021-07-09 10:47:40.266 +0700,""
330360,acetyldihydrocodeine,2021-07-09 10:47:40.313 +0700,2021-07-09 10:47:40.313 +0700,""
330361,acetylglycinamide chloral hydrate,2021-07-09 10:47:40.314 +0700,2021-07-09 10:47:40.314 +0700,""
330367,acipimox,2021-07-09 10:47:40.319 +0700,2021-07-09 10:47:40.319 +0700,""
330368,acitretin,2021-07-09 10:47:40.320 +0700,2021-07-09 10:47:40.320 +0700,""
330369,aclarubicin,2021-07-09 10:47:40.333 +0700,2021-07-09 10:47:40.333 +0700,""
330370,aclidinium bromide,2021-07-09 10:47:40.367 +0700,2021-07-09 10:47:40.367 +0700,""
330371,acriflavinium chloride,2021-07-09 10:47:40.367 +0700,2021-07-09 10:47:40.367 +0700,""
330372,acrivastine,2021-07-09 10:47:40.376 +0700,2021-07-09 10:47:40.376 +0700,""
330373,adalimumab,2021-07-09 10:47:40.378 +0700,2021-07-09 10:47:40.378 +0700,""
330374,adapalene,2021-07-09 10:47:40.379 +0700,2021-07-09 10:47:40.379 +0700,""
330375,adefovir dipivoxil,2021-07-09 10:47:40.381 +0700,2021-07-09 10:47:40.381 +0700,""
330376,ademetionine,2021-07-09 10:47:40.382 +0700,2021-07-09 10:47:40.382 +0700,""
330378,adinazolam,2021-07-09 10:47:40.383 +0700,2021-07-09 10:47:40.383 +0700,""
330380,adrafinil,2021-07-09 10:47:40.385 +0700,2021-07-09 10:47:40.385 +0700,""
330381,afamelanotide,2021-07-09 10:47:40.385 +0700,2021-07-09 10:47:40.385 +0700,""
330382,afatinib,2021-07-09 10:47:40.385 +0700,2021-07-09 10:47:40.385 +0700,""
330383,afelimomab,2021-07-09 10:47:40.386 +0700,2021-07-09 10:47:40.386 +0700,""
330384,aflibercept,2021-07-09 10:47:40.386 +0700,2021-07-09 10:47:40.386 +0700,""
330385,agalsidase alfa,2021-07-09 10:47:40.386 +0700,2021-07-09 10:47:40.386 +0700,""
330386,agalsidase beta,2021-07-09 10:47:40.387 +0700,2021-07-09 10:47:40.387 +0700,""
330387,agni casti fructus,2021-07-09 10:47:40.387 +0700,2021-07-09 10:47:40.387 +0700,""
330388,agomelatine,2021-07-09 10:47:40.387 +0700,2021-07-09 10:47:40.387 +0700,""
330389,ajmaline,2021-07-09 10:47:40.388 +0700,2021-07-09 10:47:40.388 +0700,""
330390,alanyl glutamine,2021-07-09 10:47:40.390 +0700,2021-07-09 10:47:40.390 +0700,""
330391,alaproclate,2021-07-09 10:47:40.392 +0700,2021-07-09 10:47:40.392 +0700,""
330392,albendazole,2021-07-09 10:47:40.393 +0700,2021-07-09 10:47:40.393 +0700,""
330393,albinterferon alfa-2b,2021-07-09 10:47:40.393 +0700,2021-07-09 10:47:40.393 +0700,""
330394,albumin,2021-07-09 10:47:40.394 +0700,2021-07-09 10:47:40.394 +0700,""
330395,albumin tannate,2021-07-09 10:47:40.394 +0700,2021-07-09 10:47:40.394 +0700,""
330396,alcaftadine,2021-07-09 10:47:40.395 +0700,2021-07-09 10:47:40.395 +0700,""
330397,alclofenac,2021-07-09 10:47:40.395 +0700,2021-07-09 10:47:40.395 +0700,""
330398,alclometasone,2021-07-09 10:47:40.396 +0700,2021-07-09 10:47:40.396 +0700,""
330399,alcuronium,2021-07-09 10:47:40.396 +0700,2021-07-09 10:47:40.396 +0700,""
330400,aldesleukin,2021-07-09 10:47:40.396 +0700,2021-07-09 10:47:40.396 +0700,""
330401,aldesulfone sodium,2021-07-09 10:47:40.397 +0700,2021-07-09 10:47:40.397 +0700,""
