"id","class","group","name","activeIngredient","formatted_activeIngredient","strength","formatted_strength","ingredient_strength","formatted_ingredient_strength","form","formatted_form","package","formatted_package","unit","formatted_unit","standard","age","registerCode","registerCompany","registerCountry","registerAddress","manufactureCompany","manufactureCountry","manufactureAddress","createdAt","updatedAt","formatted_manufactureCountry","using"
cf005110-7731-4a89-92ed-54b96d92a6fb,Các loại khác,Tân dược,Pesamin,Alpha amylase 10mg; Papain 5mg,Alpha amylase + Papaine,,"0.33mg/ml + 0.16mg/ml",Alpha amylase 10mg; Papain 5mg,Alpha amylase 0.33mg/ml + Papaine 0.16mg/ml,Dung dịch uống,Dung dịch/hỗn dịch/nhũ dịch uống,Hộp 1 chai 30 ml,,,Chai,TCCS,"24 tháng",VD-20902-14,Công ty cổ phần dược TW Mediplantex,Việt Nam,"358 Giải phóng, P. Phương Liệt, Thanh xuân, Hà Nội",Chi nhánh Công ty cổ phần dược TW Mediplantex,Việt Nam,"Thôn Trung Hậu, xã Tiền Phong, Mê Linh, Hà Nội",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Việt Nam,Khác
ed5605aa-f8bb-4f93-add5-28ad614be245,Thuốc tác dụng trên đường tiêu hoá,,Grazyme,"Alpha amylase (fungal diastase 1:800), papain , Simethicone",Alpha amylase + Papaine + Simethicone,"Alpha amylase (fungal diastase 1:800) 100mg, papai","","Alpha amylase (fungal diastase 1:800), papain , Simethicone - Alpha amylase (fungal diastase 1:800) 100mg, papai",Alpha amylase  + Papaine  + Simethicone ,Viên nang,Viên nang,Hộp 3 vỉ x 10 viên,,,Viên,NSX  ,"24 tháng",VN-14114-11,Công ty TNHH Kiến Việt,Việt Nam,"437/2 Lê Đức Thọ, Phường 16, Q. Gò Vấp, Tp. Hồ Chí Minh",Gracure Pharmaceuticals Ltd.   ,India,"E-1105, Industrial Area, Phase-III, Bhiwadi, Distt. Alwar (RAJ.)",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
"5d98d774-b702-494a-95a4-f70df48db854",Thuốc tác dụng trên đường tiêu hoá,Tân dược,Grazyme,Alpha amylase (dưới dạng Diatase nấm 1 : 800) 100mg; Papain 100mg; Simeticon 30mg,Alpha amylase + Papaine + Simethicone,"100mg, 100mg, 30mg","100mg + 100mg + 30mg","Alpha amylase (dưới dạng Diatase nấm 1 : 800) 100mg; Papain 100mg; Simeticon 30mg - 100mg, 100mg, 30mg",Alpha amylase 100mg + Papaine 100mg + Simethicone 30mg,Viên nang cứng,Viên nang,Hộp 3 vỉ x 10 viên,,,Viên,NSX,"24 tháng",VN-21612-18,Gracure Pharmaceuticals Ltd.,India,"251-254, IInd Floor, DLF Tower, 15 Shivaji Marg, New Dehli, West Delhi DL 110015",Gracure Pharmaceuticals Ltd.,India,"E-1105 RIICO Industrial Area, Phase III, Bhiwadi, Alwar, (Rajasthan.)",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Uống
"67d60957-e63a-492c-9444-8bc7d6fce60f",,,Neopeptin drops,"Alpha-amylase; papain; tinh dầu dill, tinh dầu anise, tinh dầu caraway",Alpha-amylase + Papaine + Tinh dầu anise + Tinh dầu caraway + Tinh dầu dill,.,"","Alpha-amylase; papain; tinh dầu dill, tinh dầu anise, tinh dầu caraway - .",Alpha-amylase  + Papaine  + Tinh dầu anise  + Tinh dầu caraway  + Tinh dầu dill ,thuốc giọt uống,Dung dịch/hỗn dịch/nhũ dịch uống, Hộp 1 lọ 15ml,,,Lọ,NSX,"36 tháng",VN-5063-07,"Raptakos, Brett & Co., Ltd.",India,"253 Dr. Annie Besant road, Worli Colony Post Office, Mumbai","Raptakos, Brett & Co., Ltd.",India,"66, Velacheri Road, Guindy, Chennai (Madras) 600 032",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
"5ccc4780-0970-4288-bb61-414d19f995dd","Dạ dày, ruột",,Neopeptine,Alpha-amylase,Alpha amylase,"20 mg","20mg",Alpha-amylase - 20 mg,Alpha amylase 20mg,Thuốc uống giọt,Dung dịch/hỗn dịch/nhũ dịch uống,Hộp 1 chai 15 ml,,,Chai,Nhà sản xuất,"24 tháng",VN-7205-02,"Raptakos, Brett & Co., Ltd.",India,"Dr Annie Besant Road, Worli, Mumbai 400 030","Raptakos, Brett & Co., Ltd.",India,"66, Velacheri Road, Guindy, Chennai (Madras) 600 032",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
b0222511-fc83-4c77-b598-b62d32e51d82,Loại khác,,Megamylase 3000 U. Ceip,Alpha amylase,Alpha amylase,"3000 Ceip. U","3000IU",Alpha amylase - 3000 Ceip. U,Alpha amylase 3000IU,Viên nén bao phim,Viên,Hộp 2 vỉ x 12 viên,,,Viên,Nhà sản xuất,"36 tháng",VN-9687-05,O.C.A.,France,"71/73 rue des Alpes - Zone Silic 516-94150 Rungis",Laboratories Biophelia,France,"11, rue de Montbazon - 37260 Monts.",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Pháp,Khác
c023d767-784e-455c-86d5-4b66d3b35948,"Thuốc tác dụng trên dạ dày, ruột",Tân dược,Alpamylase trẻ em,"Alpha amylase, papain",Alpha amylase + Papaine, ,"","Alpha amylase, papain -  ",Alpha amylase  + Papaine ,Dung dịch uống,Dung dịch/hỗn dịch/nhũ dịch uống,hộp 1chai x 10ml dung dịch uống,,,Chai,TCCS,"24 tháng",V1034-H12-05,Công ty Dược khoa,Việt Nam,"13 - 15 Lê Thánh Tông - Hà Nội",Công ty Dược khoa,Việt Nam,"13 - 15 Lê Thánh Tông - Hà Nội",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Việt Nam,Khác
bbc90e98-06b3-48ea-8395-badda387e2d4,,,Neopeptine Liquid,Alpha amylase; Papaine,Alpha amylase + Papaine,"100mg Alpha amylase; 50mg Papaine","100mg + 50mg",Alpha amylase; Papaine - 100mg Alpha amylase; 50mg Papaine,Alpha amylase 100mg + Papaine 50mg,Thuốc nước,Dung dịch/hỗn dịch/nhũ dịch uống,Hộp 1 lọ 60 ml,,,Lọ,NSX,"24 tháng",VN-11284-10,"Raptakos, Brett & Co., Ltd.",India,"Dr Annie Besant Road, Worli, Mumbai 400 030","Raptakos, Brett & Co., Ltd.",India,"1st Pokhran Road, Thane - 400 606",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
c2e968ff-ddf0-46f8-8a44-cb80814dcf10,Loại khác,,Neopeptine Liquid,Alpha amylase; Papaine,Alpha amylase + Papaine,,"",Alpha amylase; Papaine,Alpha amylase  + Papaine ,Dung dịch uống,Dung dịch/hỗn dịch/nhũ dịch uống,Hộp 1 chai 60ml,,,Chai,Nhà sản xuất,"24 tháng",VN-9712-05,"Raptakos, Brett & Co., Ltd.",India,"Dr Annie Besant Road, Worli, Mumbai 400 030","Raptakos, Brett & Co., Ltd.",India,"1st Pokhran Road, Thane - 400 606",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
"604a76b0-ed7e-4a42-9b40-9fa7c5bb77fe",,,Synneupep,"Alpha amylase, Papaine, Simethicone",Alpha amylase + Papaine + Simethicon,"100mg, 100mg, 30mg","100mg + 100mg + 30mg","Alpha amylase, Papaine, Simethicone - 100mg, 100mg, 30mg",Alpha amylase 100mg + Papaine 100mg + Simethicon 30mg,Viên nang,Viên nang,Hộp 3 vỉ x 10 viên,,,Viên,NSX,"24 tháng",VN-11355-10,Synmedic Laboratories,India,"202 Sai Plaza, 187-188 Sant Nagar, East of Kailash, New Delhi-110065.",Synmedic Laboratories,India,"106-107 HSIDC Industrial Estate, SEC 31 - Faridabad 121003, Hangana",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
