"id","from","to","createdAt","updatedAt"
1,膠囊劑,capsules,2021-04-19 11:16:05.518 +0700,2021-04-19 11:16:05.518 +0700
2,軟膏劑,ointment,2021-04-19 11:16:05.534 +0700,2021-04-19 11:16:05.534 +0700
3,點眼液劑,eye drops,2021-04-19 11:16:05.538 +0700,2021-04-19 11:16:05.538 +0700
4,錠劑,lozenge,2021-04-19 11:16:05.546 +0700,2021-04-19 11:16:05.546 +0700
5,注射劑,injection,2021-04-19 11:16:05.554 +0700,2021-04-19 11:16:05.554 +0700
101,軟膠囊劑,soft capsule,2021-04-19 11:24:40.393 +0700,2021-04-19 11:24:40.393 +0700
102,凍晶乾粉注射劑,freeze crystal dry powder injection,2021-04-19 11:24:40.642 +0700,2021-04-19 11:24:40.642 +0700
8,持續性藥效錠,continuous medicinal tablets,2021-04-19 11:16:05.569 +0700,2021-04-19 11:16:05.569 +0700
103,持續性藥效膠囊劑,sustained medicinal capsules,2021-04-19 11:24:41.304 +0700,2021-04-19 11:24:41.304 +0700
10,糖漿劑,syrup,2021-04-19 11:16:05.572 +0700,2021-04-19 11:16:05.572 +0700
11,乳膏劑,cream,2021-04-19 11:16:05.574 +0700,2021-04-19 11:16:05.574 +0700
12,腸溶膜衣錠,enteric-coated film-coated tablets,2021-04-19 11:16:05.579 +0700,2021-04-19 11:16:05.579 +0700
104,陰道錠,vaginal lozenges,2021-04-19 11:24:42.829 +0700,2021-04-19 11:24:42.829 +0700
14,穿皮貼片劑,transdermal tablets,2021-04-19 11:16:05.590 +0700,2021-04-19 11:16:05.590 +0700
15,內服液劑,oral liquid,2021-04-19 11:16:05.591 +0700,2021-04-19 11:16:05.591 +0700
105,注射液劑,injection,2021-04-19 11:24:43.952 +0700,2021-04-19 11:24:43.952 +0700
106,懸液用粉劑,powder for suspension,2021-04-19 11:24:44.564 +0700,2021-04-19 11:24:44.564 +0700
107,栓劑,suppository,2021-04-19 11:24:45.799 +0700,2021-04-19 11:24:45.799 +0700
108,點眼乳劑,eye lotion,2021-04-19 11:24:46.012 +0700,2021-04-19 11:24:46.012 +0700
109,可溶錠,soluble tablets,2021-04-19 11:24:46.153 +0700,2021-04-19 11:24:46.153 +0700
110,懸液劑,suspension,2021-04-19 11:24:46.970 +0700,2021-04-19 11:24:46.970 +0700
111,陰道用乳膏劑,creams for vagina,2021-04-19 11:24:48.380 +0700,2021-04-19 11:24:48.380 +0700
23,糖衣錠,sugar-coated tablets,2021-04-19 11:16:05.605 +0700,2021-04-19 11:16:05.605 +0700
24,外用凝膠劑,topical gel,2021-04-19 11:16:05.606 +0700,2021-04-19 11:16:05.606 +0700
112,外用液劑,topical liquid,2021-04-19 11:24:49.042 +0700,2021-04-19 11:24:49.042 +0700
113,貼片劑,patch tablet,2021-04-19 11:24:51.436 +0700,2021-04-19 11:24:51.436 +0700
27,乾粉注射劑,dry powder injection,2021-04-19 11:16:05.610 +0700,2021-04-19 11:16:05.610 +0700
114,口腔吸入劑,oral inhaler,2021-04-19 11:24:53.067 +0700,2021-04-19 11:24:53.067 +0700
115,膀胱用液劑,liquid for bladder,2021-04-19 11:24:53.551 +0700,2021-04-19 11:24:53.551 +0700
116,溶液用粉劑,powder for solution,2021-04-19 11:24:55.935 +0700,2021-04-19 11:24:55.935 +0700
117,散劑,powder,2021-04-19 11:24:58.075 +0700,2021-04-19 11:24:58.075 +0700
32,膜衣錠,membrane lock,2021-04-19 11:16:05.617 +0700,2021-04-19 11:16:05.617 +0700
118,凍晶乾燥注射劑,freeze crystal drying injection,2021-04-19 11:24:58.435 +0700,2021-04-19 11:24:58.435 +0700
119,持續性膜衣錠,continuous film-coated tablets,2021-04-19 11:25:01.545 +0700,2021-04-19 11:25:01.545 +0700
120,腸溶微粒膠囊劑,enteric-coated microparticle capsules,2021-04-19 11:25:01.701 +0700,2021-04-19 11:25:01.701 +0700
121,吸入用液劑,liquid for inhalation,2021-04-19 11:25:02.976 +0700,2021-04-19 11:25:02.976 +0700
122,持續性釋放錠,sustained release tablets,2021-04-19 11:25:03.997 +0700,2021-04-19 11:25:03.997 +0700
123,持續釋放膜衣錠,sustained release film-coated tablets,2021-04-19 11:25:05.321 +0700,2021-04-19 11:25:05.321 +0700
124,注射用凍晶粉末,frozen crystal powder for injection,2021-04-19 11:25:06.832 +0700,2021-04-19 11:25:06.832 +0700
125,緩釋錠,sustained-release tablets,2021-04-19 11:25:10.628 +0700,2021-04-19 11:25:10.628 +0700
126,持續性釋放膠囊,sustained release capsules,2021-04-19 11:25:11.135 +0700,2021-04-19 11:25:11.135 +0700
127,緩釋膜衣錠,sustained-release film-coated tablets,2021-04-19 11:25:11.803 +0700,2021-04-19 11:25:11.803 +0700
128,內服顆粒劑,oral granules,2021-04-19 11:25:16.627 +0700,2021-04-19 11:25:16.627 +0700
129,鼻用懸液劑,nasal suspension,2021-04-19 11:25:21.881 +0700,2021-04-19 11:25:21.881 +0700
130,腸溶錠,enteric-coated tablets,2021-04-19 11:25:22.498 +0700,2021-04-19 11:25:22.498 +0700
